current_age,years_to_age_65,future_fire_target,illustrative_real_return,coast_number_today
25,40,1500000,0.05,213068
30,35,1500000,0.05,271630
35,30,1500000,0.05,347066
40,25,1500000,0.05,442953
45,20,1500000,0.05,565333
50,15,1500000,0.05,721526
55,10,1500000,0.05,920870
60,5,1500000,0.05,1175289
